dates,number_of_marriage
2023-12-26,15
2023-09-06,14
2023-01-02,10
2023-05-04,8
2023-12-27,10
2023-03-14,8
2023-11-27,6
2023-10-17,16
2023-04-05,9
2023-07-19,13
2023-06-20,8
2023-11-06,6
2023-12-05,18
2023-02-01,9
2023-12-10,14
2023-01-24,6
2023-03-28,9
2023-02-08,10
2023-09-26,7
2023-08-16,10
2023-04-09,9
2023-02-18,8
2023-02-24,9
2023-04-22,17
2023-11-11,13
2023-05-24,21
2023-03-12,12
2023-10-27,13
2023-03-19,17
2023-05-31,17
2023-09-05,13
2023-08-08,10
2023-11-26,8
2023-09-07,13
2023-12-08,8
2023-10-20,9
2023-01-23,9
2023-05-30,12
2023-03-23,11
2023-01-09,11
2023-04-01,13
2023-06-20,14
2023-04-19,8
2023-06-01,11
2023-11-30,11
2023-06-28,15
2023-07-02,10
2023-08-24,5
2023-08-27,10
2023-02-06,6
2023-07-23,12
2023-09-09,7
2023-08-21,5
2023-06-14,13
2023-03-02,6
2023-03-28,19
2023-06-17,10
2023-10-24,11
2023-12-29,13
2023-08-16,10
2023-02-15,11
2023-06-08,11
2023-10-28,11
2023-07-15,5
2023-12-16,6
2023-08-05,7
2023-07-07,10
2023-11-13,13
2023-05-03,7
2023-06-19,11
2023-11-10,7
2023-01-19,11
2023-11-18,8
2023-07-28,8
2023-12-13,10
2023-08-30,12
2023-09-18,20
2023-11-19,6
2023-06-08,10
2023-12-13,5
2023-06-19,11
2023-09-03,13
2023-03-13,9
2023-01-11,8
2023-06-24,9
2023-08-06,10
2023-11-10,7
2023-05-31,9
2023-05-20,12
2023-04-26,5
2023-01-25,11
2023-03-12,6
2023-05-15,9
2023-03-06,14
2023-06-25,12
2023-07-03,14
2023-11-25,10
2023-01-15,16
2023-08-24,15
2023-01-15,13
